FECHA,COD_STA,COD_UBT,COD_SDS,VALOR,COSTO_RED
2020-03-23,EX,TAM,EUN,1.0111284789860322E-6,0.01
2020-03-23,I0,TAM,EUN,2.637308955608608E-6,0.01
2020-03-23,I1,TAM,EUN,1.9722723356333086E-6,0.01
2020-03-23,I2,TAM,EUN,4.135876812643827E-7,0.01
2020-03-23,I3,TAM,EUN,7.661655109274742E-8,0.01
2020-03-23,ND,TAM,EUN,2.929799013493252E-5,0.01
2020-03-23,RE,TAM,EUN,2.15677421218115E-6,0.01
2020-03-23,SU,TAM,EUN,0.9995917987279614,0.01
2020-03-23,ED,MAD,EUN,6.125556715645116E-10,0.01
2020-03-23,EX,MAD,EUN,3.0498291432565705E-6,0.01
2020-03-23,I0,MAD,EUN,7.954890573837297E-6,0.01
2020-03-23,I1,MAD,EUN,5.949008487730541E-6,0.01
2020-03-23,I2,MAD,EUN,1.2475192438374248E-6,0.01
2020-03-23,I3,MAD,EUN,2.3110147913351695E-7,0.01
2020-03-23,ND,MAD,EUN,1.8118140994217058E-4,0.01
2020-03-23,RE,MAD,EUN,6.505551445426227E-6,0.01
2020-03-23,SU,MAD,EUN,0.9995751052284196,0.01
2020-03-23,ED,ALT,EUN,2.694448750529249E-10,0.01
2020-03-23,EX,ALT,EUN,1.3415570614815954E-6,0.01
2020-03-23,I0,ALT,EUN,3.4991653894073335E-6,0.01
2020-03-23,I1,ALT,EUN,2.61680326973829E-6,0.01
2020-03-23,I2,ALT,EUN,5.487469281365775E-7,0.01
2020-03-23,I3,ALT,EUN,1.0165463408330203E-7,0.01
2020-03-23,ND,ALT,EUN,2.751970898792336E-4,0.01
2020-03-23,RE,ALT,EUN,2.8616014878115057E-6,0.01
2020-03-23,SU,ALT,EUN,0.9995890930855735,0.01
2020-03-24,ED,TAM,EUN,2.796956960620961E-10,0.01
2020-03-24,EX,TAM,EUN,1.1703517922353012E-6,0.01
2020-03-24,I0,TAM,EUN,3.1190459052127176E-6,0.01
2020-03-24,I1,TAM,EUN,2.1464264693583103E-6,0.01
2020-03-24,I2,TAM,EUN,4.358566978426158E-7,0.01
2020-03-24,I3,TAM,EUN,8.864856273967836E-8,0.01
2020-03-24,ND,TAM,EUN,2.9298053324009894E-5,0.01
